student,type,id,cml_max_r,base_relative_max,group,type_label
ctrlC_ref,ctrlC_ref,gsm8k-140,-1.0189174513500485,0.1569133214237115,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-141,-0.9092723349015288,-0.008913826955658344,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-142,-0.9163216617787129,0.2360843822580636,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-143,-0.7199702421131391,0.009082229508190265,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-144,-0.3613163909525294,0.1233956530588799,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-145,-0.7797455616527644,-0.08190333273982886,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-146,-0.43639702049502743,0.13029750316912803,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-147,-0.5888595350884192,0.06064310311274779,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-148,-0.7617025637902075,0.301781790924625,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-149,-0.7521518263320814,0.466383009302511,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-15,-0.2565418111517534,0.06119476152499259,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-150,-0.2644580060434311,0.13679636193794742,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-151,-0.6298260600286715,0.1586933705946595,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-152,-0.5443106337836541,0.12865665716152797,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-153,-0.5334564088442127,-0.027988416390324677,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-154,-0.5120043072917884,-0.07919452356088597,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-155,-0.540783168616656,-0.09250383477384216,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-156,-0.5307347241644126,0.05568927656700817,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-157,-0.3746849894902108,0.1656936773205907,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-158,-0.5534684030458471,0.08579544323706889,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-159,-0.9756383014467805,0.3337427032513145,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-16,-0.6956407407688232,0.39359740240231567,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-160,-0.9867066380778846,0.2962944424620344,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-161,-0.34911060171961894,0.1221330215018045,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-162,-0.4935733507001053,0.1813196944830866,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-163,-0.6112793982913789,0.30703294512662116,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-164,-0.6277009301646506,0.052840034980098594,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-165,-0.8593174478425751,0.34397874257673555,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-166,-0.879630997213957,0.2762464168891985,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-167,-0.7684443137005079,0.4827238513688574,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-168,-0.7597906311738297,0.5488253201098119,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-169,-0.48472442550120354,0.23074734160385613,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-17,-0.4140810078602134,0.14220247393123198,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-170,-0.7215242458979662,0.20941395978226052,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-171,-0.4271258809210916,0.02468971680324783,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-172,-0.5188038470795416,0.2561702351405646,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-173,-0.345614797784402,0.0012235678676461026,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-174,-0.4380137648657783,0.040996530410499776,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-175,-0.5096919278567427,-0.09468022178439284,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-176,-0.6142175961761455,0.16518471708163662,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-177,-0.5327103123612551,0.061141868339973815,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-178,-0.4199092030721121,0.11648616252783284,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-179,-0.6629811915601572,0.10155575044194787,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-18,-0.6821686941153272,-0.017665234747243352,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-180,-0.9876957008357661,0.6070308751685529,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-181,-0.9040642329178292,0.0891588444056437,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-182,-0.4843048332408879,0.217505017750089,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-183,-0.4071492201436063,0.16402575576004041,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-184,-0.6893229425596797,-0.12257514007311154,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-185,-0.9184234595486136,0.28656885634236384,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-186,-0.43437548710697416,-0.07850657290228547,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-187,-0.04389478816374465,0.003938972131982521,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-188,-0.7317874475994781,0.027504557567900267,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-189,-0.4472106875557341,0.00224344941221577,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-19,-0.5356783329874584,0.1764125741081175,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-190,-0.7835728022448578,0.41890269967862404,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-191,-0.8097179233620964,0.12495448634701534,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-192,-0.39156444995888023,-0.08701438763005276,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-193,-0.5741036606218404,0.06267068337699688,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-194,-1.026607202175878,0.2725409116259947,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-195,-0.6717120185881094,0.2817100082320929,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-196,-0.9084694482577007,0.10875724805342424,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-197,-0.8004463867010432,0.21692238598111868,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-198,-0.358851377849551,0.2522326130786281,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-199,-0.38027634930763804,-0.012143888729059582,human-reference null,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-2,-0.707070368266125,0.3229550444923168,human-reference null,Human-ref control
