label,group,n,mean,median,q25,q75,min,max
Human-ref control,non-distilled control,600,-0.6596389072157764,-0.6337161074537635,-0.8050698524758383,-0.4766987153421909,-1.521352437160728,0.33567218019153444
R1-Llama student,distilled,600,0.01295862697304913,-0.0071175635844281104,-0.06361032048356857,0.08524046780576695,-0.48958792987928434,0.4951497747109058
Qwen14B student,distilled,600,0.021166252356231215,0.019043963063269137,-0.010909857616338857,0.052533967556632935,-0.26331620952046475,0.19968299497879566
R1-Qwen student,distilled,600,-1.8932329806528212e-4,-0.005731828884805307,-0.06431559201281922,0.05580074535500957,-0.7013240498058692,0.4595083888544223
