stratum,metric,base_relative,cml,delta,label,text_colour
all distilled,AUROC,0.5304094867518993,0.9966768575134334,0.46626737076153413,"CML 0.997
delta +0.466",white
all distilled,TPR@1% FPR,0.021122846025569762,0.990550305725403,0.9694274596998332,"CML 0.991
delta +0.969",white
cross-style,AUROC,0.7291826522101752,0.9959730330831248,0.2667903808729496,"CML 0.996
delta +0.267",#111827
cross-style,TPR@1% FPR,0.0316930775646372,0.9866555462885738,0.9549624687239365,"CML 0.987
delta +0.955",white
same-family,AUROC,0.13319444444444445,0.9980833333333333,0.8648888888888888,"CML 0.998
delta +0.865",white
same-family,TPR@1% FPR,0,0.9983333333333333,0.9983333333333333,"CML 0.998
delta +0.998",white
