student,type,id,value,group,label
ctrlC_ref,ctrlC_ref,gsm8k-148,-0.7617025637902075,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-149,-0.7521518263320814,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-15,-0.2565418111517534,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-150,-0.2644580060434311,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-151,-0.6298260600286715,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-152,-0.5443106337836541,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-153,-0.5334564088442127,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-154,-0.5120043072917884,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-155,-0.540783168616656,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-156,-0.5307347241644126,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-157,-0.3746849894902108,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-158,-0.5534684030458471,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-159,-0.9756383014467805,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-16,-0.6956407407688232,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-160,-0.9867066380778846,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-161,-0.34911060171961894,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-162,-0.4935733507001053,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-163,-0.6112793982913789,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-164,-0.6277009301646506,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-165,-0.8593174478425751,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-166,-0.879630997213957,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-167,-0.7684443137005079,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-168,-0.7597906311738297,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-169,-0.48472442550120354,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-17,-0.4140810078602134,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-170,-0.7215242458979662,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-171,-0.4271258809210916,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-172,-0.5188038470795416,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-173,-0.345614797784402,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-174,-0.4380137648657783,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-175,-0.5096919278567427,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-176,-0.6142175961761455,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-177,-0.5327103123612551,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-178,-0.4199092030721121,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-179,-0.6629811915601572,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-18,-0.6821686941153272,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-180,-0.9876957008357661,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-181,-0.9040642329178292,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-182,-0.4843048332408879,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-183,-0.4071492201436063,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-184,-0.6893229425596797,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-185,-0.9184234595486136,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-186,-0.43437548710697416,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-187,-0.04389478816374465,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-188,-0.7317874475994781,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-189,-0.4472106875557341,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-19,-0.5356783329874584,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-190,-0.7835728022448578,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-191,-0.8097179233620964,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-192,-0.39156444995888023,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-193,-0.5741036606218404,non-distilled control,Human-ref control
ctrlC_ref,ctrlC_ref,gsm8k-194,-1.026607202175878,non-distilled control,Human-ref control
