threshold,fpr,tpr,stratum,method
Inf,0,0,all distilled,CML
0.4951497747109058,0,5.555555555555556e-4,all distilled,CML
0.4595083888544223,0,0.0011111111111111111,all distilled,CML
0.45065267655574714,0,0.0016666666666666668,all distilled,CML
0.4373533187047708,0,0.0022222222222222222,all distilled,CML
0.43232041251557496,0,0.002777777777777778,all distilled,CML
0.4306582344953447,0,0.0033333333333333335,all distilled,CML
0.4124230058618682,0,0.0038888888888888888,all distilled,CML
0.40307741484761694,0,0.0044444444444444444,all distilled,CML
0.3990300410678217,0,0.005,all distilled,CML
0.3947456256714862,0,0.005555555555555556,all distilled,CML
0.38681926908983166,0,0.006111111111111111,all distilled,CML
0.38572717837359205,0,0.006666666666666667,all distilled,CML
0.37698411302653934,0,0.007222222222222222,all distilled,CML
0.3698311820969497,0,0.0077777777777777776,all distilled,CML
0.3660225134095476,0,0.008333333333333333,all distilled,CML
0.3637728174505255,0,0.008888888888888889,all distilled,CML
0.36352927404679325,0,0.009444444444444445,all distilled,CML
0.36161014981421313,0,0.01,all distilled,CML
0.3540660565866264,0,0.010555555555555556,all distilled,CML
0.3469006814285901,0,0.011111111111111112,all distilled,CML
0.34432504581571666,0,0.011666666666666667,all distilled,CML
0.33950424044419825,0,0.012222222222222223,all distilled,CML
0.33800155794062703,0,0.012777777777777779,all distilled,CML
0.33567218019153444,0.0016666666666666668,0.012777777777777779,all distilled,CML
0.3332810624924397,0.0016666666666666668,0.013333333333333334,all distilled,CML
0.33303162658607616,0.0016666666666666668,0.013888888888888888,all distilled,CML
0.31590705589183443,0.0016666666666666668,0.014444444444444444,all distilled,CML
0.3134196113736412,0.0016666666666666668,0.015,all distilled,CML
0.30625820347886956,0.0016666666666666668,0.015555555555555555,all distilled,CML
0.30624136810703717,0.0016666666666666668,0.01611111111111111,all distilled,CML
0.3043157614959549,0.0016666666666666668,0.016666666666666666,all distilled,CML
0.2922038548672347,0.0016666666666666668,0.017222222222222222,all distilled,CML
0.2871148011048431,0.0016666666666666668,0.017777777777777778,all distilled,CML
0.2869890491492245,0.0016666666666666668,0.018333333333333333,all distilled,CML
0.2854785644923319,0.0016666666666666668,0.01888888888888889,all distilled,CML
0.28466574602457206,0.0016666666666666668,0.019444444444444445,all distilled,CML
0.28426735239593637,0.0016666666666666668,0.02,all distilled,CML
0.2821903208371602,0.0016666666666666668,0.020555555555555556,all distilled,CML
0.2820637475457198,0.0016666666666666668,0.021111111111111112,all distilled,CML
0.2810446645289505,0.0016666666666666668,0.021666666666666667,all distilled,CML
