experiment,method,dataset,student_base,teacher_family,condition,seed,auroc,same_family_auroc,sibling_attribution_accuracy,tpr_at_1pct_fpr,fpr_zero,ci_low,ci_high,n_students,access_tier,source_run_id
baseline_head_to_head,base_relative,GSM8K,Qwen2.5-7B,R1-Qwen,unified_calibration,aggregate_5_student_seeds,0.530,0.133,0.333,,0.808,,,5,black_box_scoring_with_candidate_access,pi_locked_result_summary_20260623
baseline_head_to_head,wadhwa_classifier,GSM8K,Qwen2.5-7B,R1-Qwen,unified_calibration,aggregate_5_student_seeds,0.724,0.412,0.450,,0.142,,,5,black_box_scoring_with_candidate_access,pi_locked_result_summary_20260623
baseline_head_to_head,model_provenance_testing,GSM8K,Qwen2.5-7B,R1-Qwen,unified_calibration,aggregate_5_student_seeds,0.882,0.615,0.584,,0.056,,,5,black_box_scoring_with_candidate_access,pi_locked_result_summary_20260623
baseline_head_to_head,embedding_mmd,GSM8K,Qwen2.5-7B,R1-Qwen,unified_calibration,aggregate_5_student_seeds,0.654,0.354,0.380,,0.285,,,5,black_box_scoring_with_candidate_access,pi_locked_result_summary_20260623
baseline_head_to_head,style_classifier,GSM8K,Qwen2.5-7B,R1-Qwen,unified_calibration,aggregate_5_student_seeds,0.710,0.402,0.425,,0.198,,,5,black_box_scoring_with_candidate_access,pi_locked_result_summary_20260623
baseline_head_to_head,perplexity_logprob,GSM8K,Qwen2.5-7B,R1-Qwen,unified_calibration,aggregate_5_student_seeds,0.582,0.212,0.352,,0.540,,,5,black_box_scoring_with_candidate_access,pi_locked_result_summary_20260623
baseline_head_to_head,CML,GSM8K,Qwen2.5-7B,R1-Qwen,unified_calibration,aggregate_5_student_seeds,0.997,0.998,0.672,,0.002,,,5,black_box_scoring_with_candidate_access,pi_locked_result_summary_20260623
baseline_head_to_head,CML+MTCR,GSM8K,Qwen2.5-7B,R1-Qwen,unified_calibration,aggregate_5_student_seeds,0.999,0.999,0.894,,0.000,,,5,black_box_scoring_with_candidate_access,pi_locked_result_summary_20260623
