experiment,dataset,student_base,teacher_family,condition,n_students,student_unit,metric,student_mean_max_statistic,control_mean_max_statistic,estimate,ci_low,ci_high,permutation_p,threshold_split,heldout_fpr,source_run_id
student_level_ci,GSM8K,Qwen2.5-7B,R1-Qwen,all_distilled_vs_ctrlc,5,student_seed,effect_size_margin,0.382,-0.648,1.030,0.985,1.075,0.0001,calibration_controls_to_heldout_controls,0.01,pi_locked_result_summary_20260623
student_level_ci,GSM8K,Qwen2.5-7B,R1-Qwen,cross-style_vs_ctrlc,5,student_seed,effect_size_margin,0.379,-0.648,1.027,0.978,1.076,0.0001,calibration_controls_to_heldout_controls,0.01,pi_locked_result_summary_20260623
student_level_ci,GSM8K,Qwen2.5-7B,R1-Qwen,same-family_vs_ctrlc,5,student_seed,effect_size_margin,0.392,-0.648,1.040,0.992,1.088,0.0001,calibration_controls_to_heldout_controls,0.01,pi_locked_result_summary_20260623
